permalink	company	numEmps	category	city	state	fundedDate	raisedAmt	raisedCurrency	round
google	Google	20000	web	Mountain View	CA	1-Jun-99	25000000	USD	a
jajah	Jajah	80	web	Mountain View	CA	1-May-07	20000000	USD	c
jajah	Jajah	80	web	Mountain View	CA	1-Mar-06	3000000	USD	a
jajah	Jajah	80	web	Mountain View	CA	1-Apr-06	5000000	USD	b
youtube	YouTube		web	San Bruno	CA	1-Nov-05	3500000	USD	a
youtube	YouTube		web	San Bruno	CA	1-Apr-06	8000000	USD	b
ustream	Ustream		web	Mountain View	CA	1-Dec-07	2000000	USD	angel
ustream	Ustream		web	Mountain View	CA	10-Apr-08	11100000	USD	a
gizmoproject	GizmoProject		web	San Diego	CA	1-Feb-06	6000000	USD	a
adap-tv	Adap.tv	15	web	San Mateo	CA	1-Jul-07	10000000	USD	a
topix	Topix		web	Palo Alto	CA	1-Nov-06	15000000	USD	b
revision3	Revision3		web	San Francisco	CA	1-Sep-06	1000000	USD	a
revision3	Revision3		web	San Francisco	CA	1-Jun-07	8000000	USD	b
aggregateknowledge	Aggregate Knowledge		web	San Mateo	CA	1-Jun-06	5000000	USD	a
aggregateknowledge	Aggregate Knowledge		web	San Mateo	CA	1-Apr-07	20000000	USD	b
sugarinc	Sugar Inc		web	San Francisco	CA	1-Oct-06	5000000	USD	a
sugarinc	Sugar Inc		web	San Francisco	CA	1-Jun-07	10000000	USD	b
zing	Zing		web	Mountain View	CA	1-Jan-07	13000000	USD	a
criticalmetrics	CriticalMetrics	4	web		CA	1-Jan-07	100000	USD	angel
spock	Spock	30	web	Redwood City	CA	1-Dec-06	7000000	USD	a
wize	Wize		web		CA	1-Jan-07	4000000	USD	a
sodahead	SodaHead		web		CA	1-Jan-07	4250000	USD	a
sodahead	SodaHead		web		CA	25-Jun-08	8400000	USD	b
casttv	CastTV	0	web	San Francisco	CA	1-Apr-07	3100000	USD	a
buzznet	BuzzNet		web	Hollywood	CA	1-May-07	6000000	USD	a
buzznet	BuzzNet		web	Hollywood	CA	7-Apr-08	25000000	USD	b
funny-or-die	Funny Or Die		web	Palo Alto	CA	1-Dec-07	15000000	USD	b
sphere	Sphere	11	web	San Francisco	CA	1-May-06	3000000	USD	b
sphere	Sphere	11	web	San Francisco	CA	1-Apr-05	500000	USD	a
meevee	MeeVee		web	Burlingame	CA	1-Feb-06	6500000	USD	b
meevee	MeeVee		web	Burlingame	CA	1-Aug-06	8000000	USD	c
meevee	MeeVee		web	Burlingame	CA	1-Feb-05	7000000	USD	a
meevee	MeeVee		web	Burlingame	CA	1-Sep-07	3500000	USD	d
mashery	Mashery	0	web	San Francisco	CA	26-Jun-08	2000000	USD	c
yelp	Yelp		web	San Francisco	CA	1-Oct-06	10000000	USD	c
yelp	Yelp		web	San Francisco	CA	1-Oct-05	5000000	USD	b
yelp	Yelp		web	San Francisco	CA	1-Jul-04	1000000	USD	a
yelp	Yelp		web	San Francisco	CA	26-Feb-08	15000000	USD	d
spotplex	Spotplex	3	web	Santa Clara	CA	1-Jan-07	450000	USD	angel
coghead	Coghead	21	web	Redwood City	CA	1-Mar-06	3200000	USD	a
coghead	Coghead	21	web	Redwood City	CA	1-Mar-07	8000000	USD	b
zooomr	Zooomr		web	San Francisco	CA	1-Feb-06	50000	USD	angel
sidestep	SideStep	75	web	Santa Clara	CA	1-Feb-07	15000000	USD	c
sidestep	SideStep	75	web	Santa Clara	CA	1-Jan-04	8000000	USD	b
sidestep	SideStep	75	web	Santa Clara	CA	1-Dec-99	2200000	USD	a
sidestep	SideStep	75	web	Santa Clara	CA	1-Oct-00	6800000	USD	a
rockyou	RockYou		web	San Mateo	CA	1-Jan-07	1500000	USD	a
rockyou	RockYou		web	San Mateo	CA	1-Mar-07	15000000	USD	b
rockyou	RockYou		web	San Mateo	CA	9-Jun-08	35000000	USD	c
rockyou	RockYou		web	San Mateo	CA	27-May-08	1000000	USD	unattributed
pageflakes	Pageflakes	20	web	San Francisco	CA	1-May-06	1300000	USD	a
swivel	Swivel		web	San Francisco	CA	1-Sep-06	1000000	USD	a
swivel	Swivel		web	San Francisco	CA	1-Apr-07	1000000	USD	a
slide	Slide	64	web	San Francisco	CA	1-Jul-05	8000000	USD	b
slide	Slide	64	web	San Francisco	CA	1-Jan-08	50000000	USD	d
bebo	Bebo		web	San Francisco	CA	1-May-06	15000000	USD	a
freebase	freebase		web	San Francisco	CA	1-Mar-06	15000000	USD	a
freebase	freebase		web	San Francisco	CA	1-Jan-08	42500000	USD	b
metawebtechnologies	Metaweb Technologies		web	San Francisco	CA	15-Jan-08	42000000	USD	b
glammedia	Glam Media		web	Brisbane	CA	1-Jul-04	1100000	USD	a
glammedia	Glam Media		web	Brisbane	CA	1-Jul-05	10000000	USD	b
glammedia	Glam Media		web	Brisbane	CA	1-Dec-06	18500000	USD	c
glammedia	Glam Media		web	Brisbane	CA	1-Feb-08	65000000	USD	d
